PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
THAM,Thamserku,Tramserku,Khumbu Himal (SW of Ama Dablam),6618,21713,12,2,TRUE,FALSE,FALSE,,,1,2,,1964,3,THAM64301,Nov 04,New Zealand,"Lynn Crawford, Peter Farrell, John McKinnon, Richard Stewart",,,
THAR,Tharpu Chuli,Tent Peak,Annapurna Himal (Annapurna Sanctuary),5695,18684,1,5,FALSE,FALSE,TRUE,1978,,1,2,,1964,3,THAR64301,Oct 23,Japan,"Masaaki Kimura, Kiyoo Shimada",,,
TILI,Tilicho,Tilitso,Annapurna-Nilgiri Himal (N of Annapurna I),7134,23406,1,5,TRUE,FALSE,FALSE,,,1,2,,1978,3,TILI78301,Oct 10,France,Emmanuel Schmutz,Reinhold Messner claimns first ascent in autumn of 1971,,
TLNG,Talung,,Simhalila Himal (S of Kangchenjunga on Indian border),7349,24111,9,1,TRUE,FALSE,FALSE,,Opened in 2002,5,2,,1964,1,TLNG64101,May 19,"W Germany, Nepal","Franz Lindner, Tenzing Nanda Sherpa",,,
TONG,Tongu,,Mukut Himal (N of Hongde in Hidden Valley),6187,20299,16,6,FALSE,TRUE,FALSE,,,1,2,,1959,3,TONG59301,Oct 21,USA,"John Humphreys, Fred Dunn, John Noxon",,,
TRIP,Tripura Hiunchuli,"Tripura Thumba, Hanging Glacier Peak",Kanjiroba Himal (SE of Kanjiroba),6553,21499,10,7,TRUE,FALSE,FALSE,,,1,2,,1986,3,TRIP86301,Oct 17,"Japan, Nepal","Noriyuki Hata, Katashi Tokimoto, Ang Phuri Sherpa",1st ascent of main (north) peak,,
TSOK,Tso Karpo Kang,Tso Karpo Khang,Kanjiroba Himal (E of Kanjiroba),6556,21509,10,7,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1971,3,TSOK71301,Oct 25,Japan,"Shoji Miyoshi, Koji Mizutani",,,
TUKU,Tukuche,,Dhaulagiri Himal (NE of Dhaulagiri I),6920,22703,4,6,TRUE,FALSE,FALSE,,,1,2,,1970,1,TUKU70101,Apr 30,Japan,"Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto",1st unofficial ascent by USA in 1968?,,
URKM,Urkinmang,Buddha,Jugal Himal (W of Dorje Lhakpa),6143,20154,8,3,TRUE,FALSE,FALSE,,,1,2,,1964,1,URKM64101,May 20,"Japan, Nepal","Akira Ban, Kazuhisa Jokei, Tesuya Kiyohara, Mingma Tshering Sherpa",,,
ANID,Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808,22336,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
TSUR,Tsaurabong Peak,"Chara Ban Peak, White Peak",Dhaulagiri Himal (SSE of Dhaulagiri V),6395,20981,4,6,FALSE,TRUE,FALSE,,,1,2,,1974,1,TSUR74101,,"Japan, Nepal","Genzaburo Yamasaki, Sherpas (?)",,,
YALU,Yalung Kang,Yalungkar,Kangchenjunga Himal (W summit of Kangchenjunga),8505,27904,9,1,TRUE,FALSE,FALSE,,,1,2,,1973,1,YALU73101,May 14,Japan,"Yutaka Ageta, Takao Matsuda",1st ascent claimed,,
PASA,Pasang Lhamu Chuli,Jasemba,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,24114,12,2,TRUE,FALSE,FALSE,,,4,2,,1986,3,PASA86301,Oct 12,Japan,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",,,
RATC,Ratna Chuli,,Peri Himal (NW of Himlung on Tibetan border),7035,23081,18,5,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,1996,3,RATC96301,Oct 14,"Japan, Nepal","Osamu Tanabe, Santa Bahadur Ale, Katsuhiko Sawada, Durge Bahadur Tamang, Tul Bahadur Tamang",,,
KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,22474,11,7,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2002,3,KANT02301,Sep 24,"Japan, Nepal","Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa",Ascent was from Tibetan side,,
RAMT,Ramtang,,Kangchenjunga Himal (N of Kangbachen),6601,21657,9,1,TRUE,FALSE,FALSE,,Opened in 1997,1,2,,1930,1,RAMT30101,May,"Austria, UK","Erwin Schneider, Frank Smythe",,,
LING,Lingtren,,Khumbu Himal (ENE of Pumori on Tibetan border),6713,22024,12,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,1935,2,LING35201,Aug,UK,"Eric Shipton, Dan Bryant",,,
TENG,Tengkoma,Tang Kongma,Jongsang Himal (NW of Kangchenjunga),6215,20390,7,1,TRUE,FALSE,FALSE,,Opened in 1997,1,2,,1949,1,TENG49101,Jun 17,"Switzerland, Nepal","Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant, Pasang Sherpa",,,
RAMC,Ramtang Chang,"Wedge Peak, Chang Himal",Kangchenjunga Himal (N of Ramtang),6802,22316,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1974,3,RAMC74301,Oct 05,Yugoslavia,"Janez Gradisar, Bojan Pollak, Michael Smolej",Illegal ascent,,
CHRE,Churen Himal East,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,6,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,1,2,,1970,1,CHRE70101,Apr 29,"S Korea, Nepal","Kim Ho-Sup, Rinsing Ongyal Sherpa",,,
CHRW,Churen Himal West,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,6,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,1,2,,1970,3,CHRW70301,Oct 28,"Japan, Nepal","Kozo Hasegawa, Ang Norbu Sherpa",,,
CHRI,Chhukung Ri,,Khumbu Himal (S of Lhotse),5550,18209,12,2,FALSE,FALSE,TRUE,2002,Opened in 1997; converted to trekking peak in 2002,1,2,,1965,1,CHRI65101,May,Netherlands,Johannes Adolf Noordijk,,,
KTOK,Kangtokal,Khang Tokal,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),6294,20650,4,6,TRUE,FALSE,FALSE,,Opened in 1997,1,2,,1962,1,KTOK62101,Jun 06,"Japan, Nepal","Zenkichi Hirayama, Ang Temba Sherpa",,,
SRKU,Serku Dolma,,Kanjiroba Himal (S of Tso Karpo Kang),6227,20430,10,7,FALSE,TRUE,FALSE,,,1,2,,1973,3,SRKU73301,Oct 30,"Japan, Nepal","Eiken Moriyama, Morihiro Takechi, Anu Sherpa",,,
NALS,Nalakankar South,,Nalakankar Himal (on W Nepal/Tibetan border),6024,19764,17,7,FALSE,TRUE,FALSE,,,4,2,,2000,2,NALS00201,Jul 07,"Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",,,
CHWT,Changwathang,,Chandi Himal (S of Tibetan border),6130,20112,17,7,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2000,2,CHWT00201,Jun 28,"Japan, Nepal","Tamotsu Ohnishi, Koji Mizutani, Nobuo Akayama, Takehiko Yanagihara, Chuldim Nuru Sherpa, Dawa Sherpa",,,
TAKP,Takphu Himal,,Nalakankar Himal (on W Nepal/Tibetan border),6395,20981,17,7,TRUE,FALSE,FALSE,,Opened in 2003,4,2,,2018,3,TAKP18301,Oct 11,"UK, Germany","Ed Douglas, Christof Nettekoven, Bruce Normand",,,
MALA,Malanphulan,"Melanphulan, Hinku Ri","Khumbu Himal (S of Ama Dablam, NW of Kangtega)",6573,21565,12,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2000,1,MALA00101,Apr 28,USA,"Peter Carse, Amy Bullard",,,
LHOM,Lhotse Middle,Lhotse Intermediate,Khumbu Himal (E of Lhotse),8410,27592,12,2,TRUE,FALSE,FALSE,,Opened in 2001,4,2,,2001,1,LHOM01101,May 23,Russia,"Sergei Timofeev, Alexei Bolotov, Piotr Kouznetsov, Evgeni Vinogradski",,,
SIMN,Simnang Himal,"P2, Simnang Himal East",Manaslu Himal (SE of Manaslu),6251,20509,15,4,TRUE,FALSE,FALSE,,Opened in 2001,1,2,,2001,1,SIMN01101,May 16,Ukraine,"Mistislav Gorbenko, Vadim Leontiev, Sergei Pugachov, Mykhaylo Zagirnyak",,,
HCHI,Hungchhi,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",Khumbu Himal (S of Gyachung Kang on Tibetan border),7029,23061,12,2,TRUE,FALSE,FALSE,,Opened in 2001,4,2,,2003,1,HCHI03102,Apr 19,"Japan, Nepal","Katsuo Fukuhara, Tadashi Morita, Kanji Shimizu, Durga Rai, Hit Bahadur Tamang, Ram Kaji Tamang, Tul Bahadur Tamang",,,
LAMP,Lampo,"Langpo Kangri, Ganesh VI",Ganesh Himal (N of Ganesh I on Tibetan border),6648,21811,5,4,FALSE,TRUE,FALSE,,,4,1,,,0,,,,Unclimbed,,,
CHUK,Chhukung Tse,Chhukung Chuli,Khumbu Himal (S of Lhotse),5833,19137,12,2,FALSE,FALSE,TRUE,,,1,2,,1953,1,CHUK53101,Apr 03,"UK, Nepal","John Hunt, Tenzing Norgay Sherpa",,,
DZAN,Dzanye,Dzanaye,Janak Himal (WNW of Lashar I on Tibetan border),6581,21591,6,1,TRUE,FALSE,FALSE,,,4,2,,1949,1,DZAN49101,Jun 30,Switzerland,"Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant",,,
GAUG,Gaugiri,,Damodar Himal (N of Bhrikuti on Tibetan border),6110,20046,3,5,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2002,1,GAUG02101,May 28,USA,"Peter Ackroyd, Jim Frush",,,
TKPO,Tengkangpoche,Thyangmoche,Rolwaling Himal (W of Kwangde),6482,21266,19,2,TRUE,FALSE,FALSE,,Opened in 2001,1,2,,1984,3,TKPO84301,Oct,"UK, USA","Trevor Pilling, Andy Zimet",,,
ARNK,Arniko Chuli,Araniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034,19797,16,6,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2002,2,ARNK02201,Jul 10,"Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa",,,
SARI,Saribung,Selibung,Damodar Himal (W of Bhrikuti),6328,20761,3,5,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2003,3,SARI03301,Oct 15,USA,"Jim Frush, Steve Furman",,,
GHEN,Ghenge Liru,"Ghenye Lirung, Langtang II",Langtang Himal (WSW of Langtang Lirung),6596,21640,13,3,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1963,1,GHEN63101,May 28,"UK, Nepal","Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)",,,
NAUL,Naulekh,,Khumbu Himal (S of Mera Peak),6340,20801,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1954,1,NAUL54101,Jun 08,New Zealand,"Colin Todd, Bill Beaven",,,
CHEK,Chekigo,,Rolwaling Himal (ENE of Beding village on Tibetan border),6121,20082,19,2,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,4,2,,2005,1,CHEK05101,May 15,"UK, Switzerland","Bruce Normand, Oliver von Rotz",1st known ascent,,
KTUN,Khatung Khang,,Annapurna-Nilgiri Himal (SW of Thorong La),6484,21273,1,5,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1956,1,KTUN56101,Apr 12,Switzerland,"Arthur Baumgartner, Marguerite Deriaz",,,
CHAG,Chago,,Makalu Himal (NW of Makalu II on Tibetan border),6893,22615,14,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,1954,1,CHAG54101,May 29,"New Zealand, Nepal","Michael Ball, Urkien Sherpa",,,
NUMR,Numri,,"Khumbu Himal (S of Cho Polu, N of Baruntse)",6635,21768,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2002,3,NUMR02301,Nov 07,Germany,"Olaf Rieck, Carsten Schmidt, Lydia Schubert",,,
PK41,Peak 41,"""True"" Mera Peak",Khumbu Himal (ESE of Ama Dablam),6648,21811,12,2,TRUE,FALSE,FALSE,2002,Opened in 2002,1,2,,2002,3,PK4102301,Oct 16,Slovenia,"Matic Jost, Urban Golob, Uros Samec",Rumored that two Americans and two Swiss (and possibly others) summited in earlier years,,
KYAZ,Kyazo Ri,Kyajo Ri,Khumbu Himal (SW of Gokyo Lake),6151,20180,12,2,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,1,2,,2002,3,KYAZ02301,Oct 20,"UK, France","Duncan Wilson, Vincent Marche",,,
PAND,Pandra,,Ohmi Kangri Himal (NW of Lhonak),6670,21883,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2002,3,PAND02301,Oct 16,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",,,
DANG,Danga,,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",6220,20407,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2002,3,DANG02301,Oct 20,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",,,
POKR,Pokharkang,Pokhar Khang,Damodar Himal (N of Pisang Peak),6372,20906,3,5,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2002,3,POKR02301,Nov 17,"UK, Nepal","Richard Scott, Dave Wynne-Jones, Kaji Sherpa","Japanese team led by Koichi Kato climbed NW Smt on Oct 31, 2002 [which they thought was the highest]",,
NAG1,Nangpai Gosum I,"Nagpai Gosum I, Cho Aui",Khumbu Himal (WSW of Cho Oyu on Tibetan border),7321,24019,12,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2017,3,NAG117301,Oct 03,Germany,Jost Kobusch,,,
KGRI,Khangri Shar,,Khumbu Himal (W of Pumori),6792,22283,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
KGRW,Khangri West,,Khumbu Himal (W of Pumori),6658,21844,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
PURB,Purbung Himal,Putrung,Damodar Himal (N of Chulu West),6500,21325,3,5,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
TASH,Tashi Kang,Tashi Khang,Mukut Himal (N of Dhampus Peak),6386,20951,16,6,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2002,2,TASH02201,Aug 14,"Japan, Nepal","Yasue Mogi, Gyalzen Sherpa",,,
TENR,Tengi Ragi Tau,"Agole, Angole",Rolwaling Himal (N of Tesi Laptsa),6938,22762,19,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2002,4,TENR02401,Dec 04,"Japan, Nepal","Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang",,,
KYAS,Kyashar,"Peak 43, Tangnag Tseng",Khumbu Himal (S of Kantega),6770,22211,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2003,3,KYAS03301,Oct 18,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank",,,
NREK,Nirekha,,Khumbu Himal (NW of Lobuje Peak),6159,20207,12,2,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,1,2,,,0,,,,1st ascent unknown,Climbing history unknown,,
NORB,Norbu Kang,Norbu Khang,Kanjiroba Himal (SE of Phoksumdo Tal),6085,19964,10,7,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2003,2,NORB03201,Jun 25,"Japan, Nepal","Tamotsu Ohnishi, Tazuko Inoue, Koji Mizutani, Takehiro Yanigahara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",2010 German team says 2003 Japanese team did not climb main peak,,
LNKE,Lunchhung Kamo East,,Kanti Himal (SE of Danfe Sail on Tibetan border),6024,19764,11,7,FALSE,TRUE,FALSE,,,1,2,,1999,2,LNKE99201,Jul 09,"Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",,,
LIK1,Linkhu Chuli Shar,"Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I",Rolwaling Himal (S of Parchamo),6719,22044,19,2,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,2013,3,LIK113301,Nov 13,Germany,Ines Papert,,,
LIK2,Linkhu Chuli Nup,"Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II","Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,21847,19,2,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,1960,3,LIK260301,Oct 21,"France, Nepal","Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa",,,
PANT,Panalotapa,"Paniyo Tapa, Paniyo Tippa",Rolwaling Himal (W of Tengkangpoche),6687,21939,19,2,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,1955,1,PANT55101,May,UK,"Peter Boultbee, Dennis Davis",,,
SHAL,Shalbachum,"Salbachum, Phrul Rangtshan Ri",Langtang Himal (E of Langtang Lirung on Tibetan border),6707,22005,13,3,TRUE,FALSE,FALSE,,Opened in 2003,4,2,,1959,3,SHAL59301,Oct 25,"Japan, Nepal","Sadao Hojo, Tetsuro Terahata, Dawa Thondup Sherpa, Pasang Temba Sherpa",,,
KHUM,Khumbutse,,Khumbu Himal (NW of Lho La on Tibetan border),6639,21781,12,2,TRUE,FALSE,FALSE,,,4,1,,,0,,,,Unclimbed,1989 Polish Everest team traversed S Smt of Khumbutse (~6400m),,
BOKT,Boktoh,Bokta,Kangchenjunga Himal (SE of Jannu),6114,20059,9,1,FALSE,FALSE,TRUE,,Opened in 2002,1,2,,1991,1,BOKT91101,Apr 10,Yugoslavia,"Marko Prezelj, Uros Rupar, Andrej Stremfelj",Boktoh possibly climbed in 1959 by Lionel Terray and Rene Desmaison during exploration of Jannu SW side,,
MOJC,Mojca,Mojka,Kangchenjunga Himal (W of Ramtang Chang),6024,19764,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1974,3,MOJC74301,Oct 11,Yugoslavia,"Stane Belak, Danilo Cedilnik",Illegal ascent,,
PLNG,Palung,Palung Ri,North of Cho Oyu (in Tibet),7012,23005,12,2,FALSE,TRUE,FALSE,,Peak entirely within China,2,2,,1952,1,PLNG52101,May 13,New Zealand,"Edmund Hillary, George Lowe",,,
TUTS,Tutse,"Peak 6, Nephu",Makalu Himal (SE of Makalu),6758,22172,14,2,TRUE,FALSE,FALSE,,Opened in 2003,1,1,,,0,,,,Unclimbed?,Possibly climbed during acclimatization for Makalu by various teams,,
NUPE,Nuptse East I,,Khumbu Himal (E of Nuptse main summit),7795,25574,12,2,TRUE,FALSE,FALSE,,Requires permit for Nuptse,1,2,,2003,3,NUPE03301,Nov 02,Russia,"Valeri Babanov, Yuri Kochelenko",,,
AMOT,Amotsang,Amatson,Damodar Himal (NW of Pokharhan),6393,20974,3,5,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
YANS,Yansa Tsenji,"Dragpoche, Dhagpache",Langtang Himal (SW of Shalbachum on Tibetan border),6567,21545,13,3,TRUE,FALSE,FALSE,,Opened in 2003,1,1,,,0,,,,Unclimbed,,,
HIMJ,Himjung,Nemjung Goth,Peri Himal (S of Himlung Himal),7092,23268,18,5,TRUE,FALSE,FALSE,20,Opened in 2002,1,2,,2012,3,HIMJ12301,Oct 12,S Korea,"Kim Chang-Ho, An Chi-Young",,,
AMPH,Amphu I,,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,22113,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2013,3,AMPH13301,Oct 09,S Korea,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon",,,
CHAB,Chabuk,Tsajirip,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),6792,22283,6,1,TRUE,FALSE,FALSE,,Opened in 2002,4,1,,,0,,,,Unclimbed,,,
CHAK,Chako,,Damodar Himal (ESE of Bhrikuti Shail),6704,21995,3,5,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,2007,2,CHAK07201,Jul 24,"Japan, Nepal","Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",,,
DOMK,Dome Kang,,Jongsang Himal (ESE of Jongsong on Indian border),7264,23832,7,1,TRUE,FALSE,FALSE,,Opened in 2002,5,2,,2009,1,DOMK09101,Apr 28,"Spain, Nepal","Emilio Lagunilla, Carlos Soria, Chhang Dawa Sherpa, Karma Gyalzen Sherpa, Halung Dorchi Sherpa",,,
GHAN,Ghhanyala Hies,,Janak Himal (NW of Janak Chuli on Tibetan border),6744,22126,6,1,TRUE,FALSE,FALSE,,Opened in 2002,4,1,,,0,,,,Unclimbed,,,
HUNK,Hunku,,Khumbu Himal (NNE of Peak 41),6119,20075,12,2,FALSE,TRUE,FALSE,,"Opened in 2002, delisted in 2013?",1,2,,2012,3,HUNK12302,Nov 11,UK,"Nick Bullock, Andy Houseman",,,
JANK,Janak Chuli,"Janak, Outlier",Janak Himal (WNW of Jongsang on Tibetan border),7041,23100,6,1,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2006,1,JANK06101,May 06,Slovenia,"Andrej Stremfelj, Rok Zalokar",,,
KABS,Kabru South,,Simhalila Himal (S of Kabru North on Indian border),7318,24009,9,1,TRUE,FALSE,FALSE,,Opened in 2003,5,2,,1994,1,KABS94101,May 12,India,"S. P. Malik, N. Arshad, 11 members",,,
KABR,Kabru Main,Kabru Central,Simhalila Himal (S of Talung on Indian border),7412,24318,9,1,TRUE,FALSE,FALSE,,Opened in 2014,5,2,,1994,1,KABR94101,May 12,India,"Dan Singh, 2 unknown members",,,
LASH,Lashar I,Loshar I,Janak Himal (NW of Lashar II on Tibetan border),6842,22448,6,1,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2005,3,LASH05301,Oct 12,Slovenia,"Andrej Stremfelj, Miha Habjan",,,
LAS2,Lashar II,Loshar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,22320,6,1,TRUE,FALSE,FALSE,,Opened in 2002,4,1,,,0,,,,Unclimbed,,,
NAG2,Nangpai Gosum II,"Nagpai Gosum II, Chamar",Khumbu Himal (WSW of Cho Oyu on Tibetan border),7287,23907,12,2,TRUE,FALSE,FALSE,,Opened in 2002,4,1,,,0,,,,Unclimbed,,,
NANG,Nangamari I,,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),6547,21480,6,1,TRUE,FALSE,FALSE,,Opened in 2003,4,2,,2010,3,NANG10301,Nov 05,Australia,"Timothy Macartney-Snape, David Barton",,,
PANB,Panbari,,Peri Himal (NW of Larkya La),6905,22654,18,5,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2006,3,PANB06301,Sep 29,Japan,"Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe",,,
PHNH,Phungi Himal,,Manaslu Himal (W of Manaslu),6538,21450,15,4,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,2017,3,PHNH17301,Oct 28,Russia,"Yuri Koshelenko, Akeksei Lonchinskiy",,,
MARI,Mariyang,,Kanti Himal (SE of Kanti Himal on Tibetan border),6528,21417,11,7,TRUE,FALSE,FALSE,,Opened in 2003,4,1,,,0,,,,Unclimbed,,,
TKRG,Takargo,Dragker-go,Rolwaling Himal (E of Chobutse),6771,22215,19,2,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,2010,1,TKRG10101,Mar 12,USA,"David Gottlieb, Joseph Puryear",,,
THUL,Thulagi,Mansiri Himal,Manaslu Himal (SW of Manaslu),7059,23159,15,4,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,2015,3,THUL15301,Sep 26,Russia,"Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo",,,
