PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
YALW,Yalung Kang West,,Kangchenjunga Himal (W summit of Yalung Kang),8077,26499,9,1,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
KANN,Kangchenjunga North,,Kangchenjunga Himal (small knob north of Main summit),7938,26043,9,1,TRUE,FALSE,FALSE,,Opened in 2014,5,1,,,0,,,,Unclimbed?,Possibly traversed on KANG ascents from north,,
KBNE,Kangbachen East,Kambachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,25525,9,1,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
HERZ,Herzog Peak,Khangsar Khang West,Annapurna Himal (WSW of Roc Noir),7555,24787,1,5,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,,0,,,,Climbed?,Likely climbed on traverses to ANNE,,
GANW,Gangapurna West,"Lachenal Peak, Asapurna",Annapurna Himal (W of Gangapurna),7140,23425,1,5,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed?,,,
CHMR,Chamar,Shringi Himal,Shringi Himal (SSE of Chamar),7161,23494,5,4,TRUE,FALSE,FALSE,,,1,1,,,0,,,,Unclimbed?,,,
NGAP,Nepal Gap Peak,Nepal Gyap Peak,Kangchenjunga Himal (ENE of Gimmegela on Indian border),7007,22989,9,1,TRUE,FALSE,FALSE,,Opened in 2014,5,1,,,0,,,,Unclimbed?,,,
GAUS,Gaurishankar South,Gauri,Rolwaling Himal (S of Gaurishankar),7010,22999,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,1979,3,GAUS79301,Nov 09,UK,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",,,
BURK,Burke Kang,Burke Khang,Khumbu Himal (ENE of Hungchhi on Tibetan border),6942,22776,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,3,BURK17301,Oct 05,"Ireland, Nepal","Noel Hanna, Samden Bhote, Nanda Dorje Sherpa, Pemba Tshering (Maila) Sherpa",,,
HMLE,Himlung East,,Peri Himal (E of Himlung Himal on Tibetan border),6932,22743,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,1,HMLE17101,May 08,"France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa",,,
YNGS,Yangra Kangri South,"Yangra South, Ganesh I South",Ganesh Himal (NW of Ganesh III on Tibetan border),6863,22516,5,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed?,,,
NUPL,Nup La Kang,Nupla Khang,Khumbu Himal (N of Nup La on Tibetan border),6861,22510,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2018,3,NUPL18301,Nov 02,"USA, Norway",,,,
CHUM,Chumbu,,Khumbu Himal (WSW of Khangri Shar near Tibetan border),6859,22503,12,2,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",Peri Himal (SE of Cheo on Tibetan border),6767,22201,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2011,3,PHUG11301,Oct 27,"France, Belgium","Paulo Grobel, Benoit Van Lerberghe",,,
GURA,Guras,,Guras Himal (NE of Nampa on Tibetan border),6744,22126,2,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
THRK,Tharke Kang,Tharke Khang,Khumbu Himal (S of Nup La on Tibetan border),6710,22014,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,3,THRK17301,Nov 03,"USA, Nepal","Garrett Madison, Kristin Bennett, Lisa Thompson, Ang Phurba Sherpa, Lhakpa Dendi Sherpa, Pasang Dawa Sherpa, Tashi Sherpa",,,
HUGO,Hulang Go,,Peri Himal (WNW of Ratna Chuli on Tibetan border),6687,21939,18,5,TRUE,FALSE,FALSE,,Opened in 2014,5,1,,,0,,,,Unclimbed,,,
SHNW,Shershon Northwest,,Makalu Himal (NW of Shershon on Tibetan border),6682,21923,14,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,1980,3,SHNW80301,Oct 15,"UK, France","Doug Scott, Roger Baxter-Jones, Georges Bettembourg",,,
AGLE,Agole East,Angole East,Rolwaling Himal (E of Tengi Ragi Tau),6675,21900,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
ROLK,Rolwaling Kang,Rolwaling Khang,Rolwaling Himal (NNE of Tarkago),6664,21864,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2016,3,ROLK16301,Oct 19,Japan,"Yasuhiro Hanatani, Yuichiro Iida, Maho Ishio, Yohei Kayama, Keisuke Tsunoda, Takuya Yoshikawa",,,
YARW,Yarwa,,Guras Himal (NW of Nampa on Tibetan border),6644,21798,2,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
YANG,Yangri,Jugal,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),6535,21440,8,3,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed?,Possibly climbed by Carla Maverna and Irene Affentranger in October 1976 (see AAJ 50:518 (1976)),,
LCHN,Lachama North,,Changla Himal (N of Lachama Chuli on Tibetan border),6628,21745,17,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
CHNG,Changdi,,Palchung Himal (SE of Kanti Himal peak on Tibetan border),6623,21729,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
GOLD,Goldum Peak,Pangri Goldumba,Jugal Himal (on Tibetan border),6632,21759,8,3,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
THOC,Thoche Go,,Peri Himal (SE of Cheo Himal on Tibetan border),6602,21660,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",Khumbu Himal (NE of Gokyo Lake),6063,19892,12,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,1984,3,KCHS84301,Nov 01,Yugoslavia,Francek Knez,Ascents reported by Jan Kielkowski: on 1 Nov 1984 by Francek Knez; on 21 Nov 1984 by Trevor Pilling,,
PHUN,Phu Kang North,Phu Khang North,Peri Himal (N of Cheo Himal on Tibetan border),6580,21588,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PTHE,Pethangtse East,,Khumbu Himal (ESE of Pethangtse on Tibetan border),6572,21562,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2008,1,PTHE08101,May 16,UK,"Andrew Hughes, Alistair Barnard, Nichcolas Beighton, Chris Fawcett, Daniel Greig-Smith, Benjamin Sherwood",Climbed by British Services Makalu Expedition led by Andrew Hughes,,
PHNG,Phungi,,Peri Himal (SE of Ratna Chuli on Tibetan border),6524,21404,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KNTE,Kanti Himal East,,Kanti Himal (ENE of Kanti Himal on Tibetan border),6516,21378,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
JARK,Jarkya,,Manaslu Himal (N of Larkya La on Tibetan border),6473,21237,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
MARW,Mariyang West,,Kanti Himal (WSW of Mariyang on Tibetan border),6455,21178,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
MAYT,Mayonthang Kang,Mayun Thang Khang,Kanti Himal (NW of Changdi Himal on Tibetan border),6449,21158,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
LNJU,Langju,Lajo Dada,Shringi Himal (S of Tobsar),6426,21083,5,4,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2017,3,LNJU17301,Oct 17,Japan,"Norifumi Fukuda, Kojuro Hagihara, Yudai Suzuki",,,
JYAC,Jyachhung,,Byas Risi Himal (NNW of Nampa on Tibetan border),6338,20794,2,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
GYLA,Gyala,,Manaslu Himal (NNE of Larkya La on Tibetan border),6363,20876,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
DOLM,Dolma Khang,Tseringma,Rolwaling Himal (SE of Gaurishankar on Tibetan border),6332,20774,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,1980,1,DOLM80101,Apr 11,"Australia, Nepal","Graham Brammer, Paul Richards, Shambu Tamang",,,
KAIP,Kaipuchonam,,Kanti Himal (WNW of Changdi on Tibetan border),6329,20764,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
LDNG,Langdung,Ripumutse,Rolwaling Himal (WSW of Ripimo Shar on Tibetan border),6326,20755,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,4,LDNG17401,Dec 20,Nepal,"Nima Tenji Sherpa, Dawa Gyalje Sherpa, Dawa Yangzum Sherpa, Pasang Kitar Sherpa",,,
DZA2,Dzanye II,,Janak Himal (S of Danzye Peak),6318,20728,6,1,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2015,3,DZA215301,Oct 04,Japan,"Takanori Mashimo, Kotaro Myatsu, Kenta Kimura, Shinnosuke Ashikari, Shun Katsurai, Takehiro Nozawa",,,
PAMA,Pama Himal,,Shringi Himal (N of Chamar on Tibetan border),6300,20669,5,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PERH,Peri Himal,,Peri Himal (SE of Cheo Himal on Tibetan border),6296,20656,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
TAKL,Takla Kang,Takla Khang,Kanti Himal (SSE of Kanti Himal peak on Tibetan border),6276,20591,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KOGI,Kogi Khang North,Kogi Kang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,20587,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
ASAJ,Asajya Tuppa,,Gorakh Himal (ENE of Simikot on Tibetan border),6265,20554,17,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KOJS,Kojichuwa South,,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,20551,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PKAR,Pankar Himal,,Manaslu Himal (ENE of Samagaon on Tibetan border),6264,20551,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2018,1,PKAR18101,May 08,Japan,"Yasuhiro Hanatani, Reo Chikara, Ryosuke Matsuyama, Daijo Saito, Tatsuro Sugimoto, Airi Watanabe",,,
SAUL,Saula,,Manaslu Himal (ENE of Samagaon on Tibetan border),6235,20456,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
YARA,Yala Chuli,Yara Chuli,Palchung Himal (SE of Changdi on Tibetan border),6236,20459,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
RHIM,Rhimbu,,Shringi Himal (S of Tobsar),6210,20374,5,4,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
SANC,Sanctuary Peak,,Kanjiroba Himal (N of Kanjiroba North),6207,20364,10,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
LASA,Lasa,,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,20305,2,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PERI,Peri,,Langtang Himal (SE of Langtang Ri on Tibetan border),6174,20256,13,3,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2016,3,PERI16301,Dec 06,"Italy, Nepal","Werner Frei, Pasang Sherpa, Sandesh Sherpa",,,
DWIJ,Dwijen Himal,,Shringi Himal (NE of Ghap village on Tibetan border),6169,20240,5,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
JABR,Jabou Ri,,Rolwaling Himal (S of Tarkago),6166,20230,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2015,3,JABR15301,Sep 15,USA,"Ryan Waters, Eric Larsen",,,
BEDG,Beding Go,Bedding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125,20095,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2015,3,BEDG15301,Oct 21,"Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa",,,
TAKN,Takphu North,,Nalakankar Himal (on W Nepal/Tibetan border),6142,20151,17,7,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2016,3,TAKN16301,Oct 12,"Germany, Nepal","Herbert Bader, Karl Henge, Tassilo Hock, Josef Knitz, Annabelle Rochelt, Alois Sinz, Bhai Krishna Khadka",,,
BHUL,Bhulu Lhasa,,Kanjiroba Himal (NNW of Kanjiroba North),6102,20020,10,7,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,1964,3,BHUL64301,Oct 31,"UK, Nepal","John Tyson, John Cole, Robert Kendall, Mingma Sherpa",,,
LNAK,Lhonak,Rifil Peak,Janak Himal (WNW of Drohmo),6070,19915,6,1,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
ROLM,Rolmi,,Shringi Himal (S of Tobsar),6056,19869,5,4,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2017,3,ROLM17301,Oct 01,Nepal,"Narendra Shahi, Iman Gurung, Samir Gurung",,,
ACHN,Aichyn,"Aychin, Ashvin",Chandi Himal (SW of Changwathang),6055,19865,17,7,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2015,3,ACHN15301,Sep 03,Japan,"Hiroki Senda, et al",,,
ARDN,Ardang,,Phupharka Himal (NW of Simikot),6034,19797,17,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
LUNG,Lungchhung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6043,19826,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KHNG,Khung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6024,19764,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
CHND,Chandi Himal,,Chandi Himal (NE of Simikot on Tibetan border),6142,20151,17,7,TRUE,FALSE,FALSE,,Opened in 2002,4,1,,,0,,,,Unclimbed,Climbed illegally by Sean Burch in October 2016?,,
KALI,Kali Himal,"Chota Ri, Baruntse North",Khumbu Himal (NW of Baruntse),6985,22917,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1983,1,KALI83101,Apr 05,Netherlands,"Joost Ubblink, Edwin Van Nieuwkerk",,,
DHEC,Dhechyan Khang,,Damodar Himal (ESE of Gaugiri on Tibetan border),6019,19747,3,5,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2018,1,DHEC18101,May 05,"Austria, Germany, Nepal","Wolfgang Drexler, Martin Thallmair, Lawang Tamang, Yokachi Tamang",,,
EKRA,Ek Rate Danda,,"Khumbu Himal (in Hongku Valley, S of Chamlang)",6213,20384,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
GHYN,Ghyun Himal I,,Mustang Himal (N of Ghyun Khola on Tibetan border),6110,20046,16,6,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
GORH,Gorakh Himal,,Gorakh Himal (NE of Simikot on Tibetan border),6198,20335,17,7,TRUE,FALSE,FALSE,,Opened in 2002,4,1,,,0,,,,Unclimbed,,,
HONK,Hongku,"Hongku Chuli Nup, Honku, Sura Peak","Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",6764,22192,12,2,TRUE,FALSE,FALSE,,Opened in 2003,1,2,,2015,3,HONK15301,Oct 09,France,"Alberto Inurrategi Iriarte, Juan Vallejo Llanos, Miguel Zabalza Azkona",Possibly first climbed in the 1980s,,
KARK,Karko,,Saipal Himal (WNW of Saipal),6015,19734,20,7,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
KARS,Karsang Kang,Kharsang,Damodar Himal (NE of Saribung),6225,20423,3,5,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2008,3,KARS08301,Oct 11,France,"Paulo Grobel, Mary Cler",,,
KHAY,Khayang,,Manaslu Himal (E of Samdo Peak on Tibetan border),6186,20295,15,4,TRUE,FALSE,FALSE,,Opened in 2003,4,1,,,0,,,,Unclimbed?,,,
GYLZ,Gyalzen Peak,Gyaltsen Peak,Jugal Himal (SE of Leonpo Gang on Tibetan border),6151,20180,8,3,TRUE,FALSE,FALSE,,,4,2,,2019,1,GYLZ19101,Apr 09,Nepal,"Maya Gurung, Min Bahadur Tamang, Sharmila Thapa, Tul Singh Gurung, Nar Bahadur Astani, Ash Bahadur Gurung, Samir Gurung",Climbed by Japanese in 1961 (then called Gumasi Peak)?,,
LSAM,Lungsampa,"Lung Sampa, Lumsumna",Khumbu Himal (S of Nangpai Gosum II),6500,21325,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2014,0,,,Spain,"Jordi Corominas, Jordi Tosas",Tosas and Corominas unconfirmed ascent in 2014 via SSW Ridge,,
MERS,Mera South,,Khumbu Himal (SW of Mera),6064,19895,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
PASH,Pashuwo,Pashubo,Ganesh Himal (N of Lampo on Tibetan border),6177,20266,5,4,TRUE,FALSE,FALSE,,Opened in 2003,4,1,,,0,,,,Unclimbed,,,
SATO,Sat Peak,Sato Peak,Ohmi Kangri Himal (N of Sharphu range),6164,20223,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,Possibly climbed by Japanese in 1960s as Nupchu,,
TSKP,Tso Karpo,,"Kanjiroba Himal (E of Kanjiroba, W of Tso Karpo Kang)",6518,21385,10,7,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
SPH2,Sharphu II,Tanga II,Ohmi Kangri Himal (WNW of Kangchenjunga),6328,20761,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,201,3,SPH218301,Oct 26,USA,"Aivaras Sajus, Spencer Gray",,,
SPH3,Sharphu III,Marson,Ohmi Kangri Himal (WNW of Kangchenjunga),6220,20407,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
SPH4,Sharphu IV,Nupchu,Ohmi Kangri Himal (WNW of Kangchenjunga),6172,20249,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1962,1,SPH462101,May 20,Japan,"Takayuki Tsubaki, Chotare Sherpa",,,
SPH5,Sharphu V,Tanga III,Ohmi Kangri Himal (WNW of Kangchenjunga),6158,20203,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
SPH6,Sharphu VI,,Ohmi Kangri Himal (WNW of Kangchenjunga),6076,19934,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
MNSS,Mansail South,Manshail South,Mustang Himal (S of Mansail on Tibetan border),6248,20499,16,6,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
GDNG,Gave Ding,,Changla Himal (N of Lachama Chuli on Tibetan border),6581,21591,17,7,FALSE,TRUE,FALSE,,Requires permit for Lachama Chuli,4,2,,2015,3,GDNG15301,Oct 22,UK,"Michael Fowler, Paul Ramsden",,,
NGO3,Ngojumba Kang III,Hillary Peak,Khumbu Himal (NE of Cho Oyu on Tibetan border),7681,25200,12,2,TRUE,FALSE,FALSE,,Opened in 2014 as Hillary Peak,4,1,,,0,,,,Unclimbed,,,
KIMS,Kimshung,"Kinshung, Tsangbu Ri",Langtang Himal (NE of Langtang Lirung),6781,22247,13,3,FALSE,TRUE,FALSE,,,1,1,,,0,,,,,,,
PAWR,Pawar Central,Chaar Baatsa,Pawar Himal (N of Larkya La),6621,21722,18,5,FALSE,TRUE,FALSE,,,1,2,,2015,1,PAWR15101,May 09,France,"Paulo Grobel, Frank Bonhomme, Christian Hurgon, Dhan Bahadur Magar, Dipen  Nuppa Bhote, Jangbu Sherpa, Rajan Lama Bhote",,,
NGOR,Nagoru,,Peri Himal (NW of Himlung Himal),6165,20226,18,5,FALSE,TRUE,FALSE,,,1,2,,2016,3,NGOR16301,Oct 21,"Austria, Nepal","Wolfgang Drexler, Lawang Tamang",,,
SALD,Saldim,,Makalu Himal (ENE of Shershon village on Tibetan border),6374,20912,14,2,TRUE,FALSE,FALSE,,Opened in 2003,4,1,,,0,,,,Unclimbed,,,
LANY,Langtang Yubra,Yubra Himal,Langtang Himal (ENE of Langtang Lirung),6048,19843,13,3,FALSE,FALSE,TRUE,,Opened in 2016,1,1,,2018,3,LANY18301,Oct 21,"Australia, Netherands, Nepal","Karen De Lathouder, Elizabeth Finden, Edith Jankowski, Chris Jones, Warren Townsden, Lhakpa Nuru Sherpa, Mingma Sherpa, Nawang Sherpa, Phurba Sherpa, Sona Sherpa",It is unclear from leader's photo whether the team climbed Langtang Yubra or a ridge between Langtang Yubra and Yubra (6264m),,
LARK,Larkya Peak,"Granite Peak, Naike Peak",Manaslu Himal (N of Manaslu North),6416,21050,15,4,FALSE,FALSE,TRUE,,,1,2,,2017,3,LARK17301,Sep 27,Georgia,"Archil Badriashvili, Giorgi Tepnadze, Bakar Gelashvili",,,
NUPW,Nuptse West II,Nuptse Nup II,Khumbu Himal (NW of Nuptse main summit),7732,25367,12,2,TRUE,FALSE,FALSE,,Requires permit for Nuptse,1,2,,,0,,,,,,,
TENE,Tengi Ragi Tau East,,Rolwaling Himal (N of Tesi Laptsa),6675,21900,19,2,FALSE,TRUE,FALSE,,,1,2,,2005,3,TENE05301,Nov 20,France,"Maxime Belleville, Julien Herry",,,
NILE,Nilgiri East,,Annapurna-Nilgiri Himal (NNW of Annapurna I),6698,21975,1,5,FALSE,TRUE,FALSE,,,1,2,,1970,3,,Nov,Spain,"Jorge Matas, Manuel Martin",Illegal Ascent,,
PEMR,Pemthang Ri,,Jugal Himal (N of Pemthang Karpo Ri on Tibetan border),6743,22123,8,3,FALSE,TRUE,FALSE,,,4,1,,,0,,,,,,,
FUTI,Futi Himal,,Damodar Himal (W of Bhrikuti),6425,21079,3,5,FALSE,TRUE,TRUE,,,1,2,,2014,1,FUTI14101,May 16,Portugal,"Pedro Guedes Viera, Sandra Lima Dos Reis, Oldemiro Lima Fortunato, Frederico Mohilla Salomao",,,
SANB,Sano Bhrikuti,,Damodar Himal (ENE of Bhrikuti),6328,20761,3,2,FALSE,TRUE,FALSE,,,1,2,,2017,1,BHRS17101,,Switzerland,"Erwin Jacomet, et al.",Made ski descent,,
SANK,Sano Kailash,,,6452,21168,3,5,FALSE,TRUE,FALSE,,,1,2,,2019,1,SANK19101,Apr 28,"Austria, Nepal","Wolfgang Drexler, Lawang Tamang",,,
TARS,Tarke Kang Shar,Tare Kang,Annapurna Himal (E of Glacier Dome),7069,23192,1,5,FALSE,TRUE,FALSE,,,1,2,,1981,3,TARS81301,Oct 10,"Italy, Nepal","Claudio Schranz, Marco Roncaglioni, Gianfranco Tagliaferri, Gombu Sherpa","Team thought they climbing Glacier Dome, but summited 7069m peak east of Glacier Dome",,
KORL,Korlang Pari Tippa,Korlang Pari Tippa North,N of Lamabagar on Tibetan border,5738,18825,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,,,,
JANE,Jannu East,Khumbhakarna East,Kangchenjunga Himal (W of Kangchenjunga),7460,24475,9,1,TRUE,FALSE,FALSE,,Requires Jannu permit,1,1,,,0,,,,,,,
YUBR,Yubra,,Langtang Himal (ENE of Langtang Lirung),6264,20551,13,3,FALSE,TRUE,FALSE,,,1,1,,,0,,,,,,,
